AKM1MP6P0OYPR,0132793040,5.0,1365811200
A3N8BLA1JCN99O,B00413XA3G,4.0,1386633600
ALSY6F5700MNB,B004G4XR60,5.0,1340323200
ACCZRWCIIBX4Z,B000U0Z2W6,1.0,1261872000
A2I7FFURHERPLW,B00008VF5W,1.0,1356048000
A28S08XY1NFDJW,B003I65U2G,5.0,1339804800
A2DM2J7LYB7UHC,B0049YFWD8,3.0,1370563200
AVGFX806H00BO,B0054LQK0E,4.0,1335225600
A5J0JCG1Q9L5Q,B009SE4DNO,5.0,1393804800
A3PTYQUAGP72FJ,B002MWYUFU,1.0,1357689600
A2ANFXSVV3SC5S,B0006MGNNK,5.0,1362355200
ASK6ALEE9PIU3,B00AXX0I88,5.0,1398902400
A2KIECJVK96NME,B000095SB6,3.0,1098576000
A1TYHDGB56OECY,B000N23JL2,4.0,1267401600
A2DGZYVWIB9F6D,B005MWMBBM,5.0,1371340800
A1JFPW8SPIN47I,B008R88YQY,1.0,1402358400
A2X2I7O2ADSYLS,B00871SR68,3.0,1364774400
A18X7WBCQUSE4I,B004FLJVXM,4.0,1372982400
A1EGF350E82DOU,B0009IHD6W,5.0,1304121600
A3LOEEPLYZIT4I,B00005AY8Q,1.0,1062806400
AWP158O1XLBZ9,B000BWY0BC,4.0,1150329600
A1YLMADIX2CEKF,B001XZRTFU,1.0,1324857600
A3TPGWMAEQVO4T,B000QJ4ZE2,4.0,1252540800
ANYC38I00IRVK,B003MX4D0U,4.0,1386201600
A3IUS3KLQBV61J,B00BU80S6W,5.0,1402617600
A1ERD1YD0JPVUH,B007X95MNG,1.0,1391126400
A178GTOVH0ZE23,B0002CPBWI,5.0,1253750400
A32IUFOP35UY2P,B0038KLD50,4.0,1301961600
AAHKQ7PAPBBAK,B0053QW61M,5.0,1389484800
A16AGIERBI1O5Q,B002FRLEIS,5.0,1363478400
AXPCRCRWVIV6J,B0015AARJI,5.0,1360022400
A3JPL67Q7B6MS,B005TH9Q3Q,4.0,1395360000
A2UWZXS2MPUFK1,B005H4CDF4,5.0,1349049600
AQQ4L3GPBFXL3,B000RT8CM2,5.0,1361491200
A2H9AI1ZJPRGT6,B007JBN6NQ,5.0,1335139200
A3M96N1KUBESFD,B001MQ69V0,5.0,1387411200
A1951DLIKVJSO8,B00D96J8IM,5.0,1400716800
A396WQRNS7N0XW,B004KWF4T6,5.0,1355788800
A1PAO60J05TZJJ,B007BY3PBE,5.0,1342828800
A1L8P3XGVB2GF,B000NVEG8S,5.0,1210204800
ALXA2M707WGBG,B005S6TOZ8,5.0,1322956800
AN6WO355FGB7C,B00BWH7TRM,4.0,1398470400
A335FCZPDBCX9L,B004M5H660,5.0,1378944000
